priority,status,platform,url,submission_url,type,language,cost,login_required,asset_needed,anchor_url,anchor_text,notes,next_action
1,submitted_not_found,Startpack,https://startpack.ru/,https://startpack.ru/feedback/add-new-service,ru saas directory,ru,free_or_paid,yes,logo screenshots domain_email,https://adshortsai.com/,AI генератор видео для Shorts,"Заявка отправлена не позже 2026-05-23, но 2026-06-20 публичная карточка не найдена; прямые проверки частично блокирует DDoS-Guard.","Проверить email/аккаунт Startpack или связаться с поддержкой/повторить заявку."
2,published,AIList.ru,https://ailist.ru/tools/adshorts-ai/,https://ailist.ru/,ru ai directory and media,ru,free,verify,logo category description,https://adshortsai.com/,AdShorts AI,"Карточка опубликована и проиндексирована; кнопка сайта идет через внутренний nofollow-редирект, прямой URL есть в SoftwareApplication JSON-LD. Также опубликована редакционная подборка Reels/Shorts с упоминанием AdShorts AI.","Отслеживать реферальные переходы и индексацию карточки; повторно не отправлять."
3,blocked,Нейрокаталог,https://neurokatalog.ru/,https://neurokatalog.ru/,ru ai directory,ru,verify,verify,logo category pricing,https://adshortsai.com/,AI генератор Shorts,"На сайте есть текст про форму Добавить сервис, но явная ссылка/форма не найдена; прямой URL /add-listing/ возвращает 404.","Искать контакт владельца отдельно или вернуться позже; сейчас перейти к каталогам с явной формой."
4,blocked,Neuro-x,https://neuro-x.ru/catalog/,https://neuro-x.ru/catalog/,ru ai directory,ru,verify,verify,logo category,https://adshortsai.com/,генератор видео нейросеть,"Явная форма добавления не найдена; есть релевантные категории Reels/Видео/Генератор видео и сообщество.","Писать через контакты или вернуться позже."
5,published_no_direct_href,RuTut,https://rutut.ru/s/adshorts-ai,https://rutut.ru/s/adshorts-ai,ru saas directory,ru,free,yes,logo screenshots description,https://adshortsai.com/,AI сервис для Shorts,"Публичная карточка возвращает HTTP 200, но проверка 2026-07-10 не нашла прямой href на adshortsai.com в серверном HTML.","Попросить поддержку показать ссылку на сайт; не создавать дубликат карточки."
6,published,VC.ru,https://vc.ru/marketing/3035242-kak-malomu-biznesu-sozdat-reels-shorts-i-tiktok-bez-semki,https://vc.ru/,ru business media,ru,free,yes,none,https://adshortsai.com/kalkulyator-stoimosti-shorts/,калькулятор стоимости Shorts,"Опубликована полезная статья для малого бизнеса; публичная страница и тема «Маркетинг» проверены 2026-07-19, ссылка на калькулятор кликабельна и идет через стандартный редирект VC.ru.","Отслеживать реферальные переходы, показы и индексацию; повторно ссылку не спамить."
7,brief_ready,Habr,https://habr.com/ru/,https://habr.com/ru/sandbox/,ru tech media,ru,free_or_paid,yes,technical article diagrams,https://adshortsai.com/press/,пайплайн генерации видео,"Технический бриф готов: единое состояние проекта, инвалидация ассетов, тайминг озвучки/субтитров и воспроизводимый рендер.","Собрать подтвержденные детали из кода и публиковать только после подтверждения владельца."
8,ready,Telegram AI/SMM channels,manual,manual,outreach,ru,free_or_paid,yes,demo video press kit,https://adshortsai.com/,генератор Shorts,"Главный RU канал быстрого внешнего спроса: AI-подборки, SMM-каналы, YouTube-каналы, каналы для предпринимателей.","Собрать 30 каналов и отправить персональные pitches."
9,ready,VK SMM/creator communities,manual,manual,outreach,ru,free_or_paid,yes,demo video,https://adshortsai.com/,нейросеть для видео,"Подходит для русскоязычных SMM, маркетинга, YouTube и малого бизнеса.","Собрать 20 сообществ, разместить демо/пост по правилам."
10,brief_ready,Cossa,https://www.cossa.ru/,manual,ru marketing media,ru,free_or_paid,yes,editorial article,https://adshortsai.com/kalkulyator-stoimosti-shorts/,калькулятор стоимости Shorts,"Редакционный бриф готов: полная себестоимость коротких видео и корректное сравнение ручного и AI-сценария.","Отправлять только после подтверждения владельца."
11,queued,Sostav,https://www.sostav.ru/,manual,ru marketing media,ru,free_or_paid,yes,case pitch,https://adshortsai.com/press/,AI генератор видео для маркетинга,"Маркетинговое медиа; подходит при наличии инфоповода или кейса.","Питчить обзор/новость после первого публичного кейса."
